name;startDate;url;artist;addressCountry;addressLocality;streetAddress;postalCode;coordinates
Plini @ The Depot;2024-11-05T19:00:00;https://www.bandsintown.com/e/1031778489-plini-at-the-depot?came_from=209;Plini;United States;Salt Lake City;400 WS Temple;84101;(40.769588, -111.90114)
Plini @ Summit Music Hall;2024-11-06T19:00:00;https://www.bandsintown.com/e/1031780203-plini-at-summit-music-hall?came_from=209;Plini;United States;Denver;1902 Blake St;80202;(39.7532404, -104.99510470000001)
Plini @ Madrid Theatre;2024-11-07T20:00:00;https://www.bandsintown.com/e/1031778900-plini-at-madrid-theatre?came_from=209;Plini;United States;Kansas City;3810 Main Street;64111;(39.058109, -94.586387)
Plini @ First Avenue;2024-11-08T21:00:00;https://www.bandsintown.com/e/1031776650-plini-at-first-avenue?came_from=209;Plini;United States;Minneapolis;701 1st Ave N;55403;(44.9785315, -93.2759978)
Plini @ The Rave / Eagles Club;2024-11-09T20:00:00;https://www.bandsintown.com/e/1031775043-plini-at-the-rave-eagles-club?came_from=209;Plini;United States;Milwaukee;2401 W Wisconsin Ave;53233;(43.0379175, -87.9433123)
Plini @ House of Blues Chicago;2024-11-10T19:00:00;https://www.bandsintown.com/e/1031778415-plini-at-house-of-blues-chicago?came_from=209;Plini;United States;Chicago;329 N Dearborn St;60654;(41.888275, -87.6288411)
Plini @ The Danforth Music Hall;2024-11-12T19:00:00;https://www.bandsintown.com/e/1031778752-plini-at-the-danforth-music-hall?came_from=209;Plini;Canada;Toronto;147 Danforth Ave;M4K 1N2;(43.67624439999999, -79.35700829999999)
Plini @ Saint Andrew's Hall;2024-11-13T19:00:00;https://www.bandsintown.com/e/1031778538-plini-at-saint-andrew's-hall?came_from=209;Plini;United States;Detroit;431 E Congress St;48226;(42.3322259, -83.04146469999999)
Plini @ The Fillmore;2024-11-15T20:00:00;https://www.bandsintown.com/e/1031780267-plini-at-the-fillmore?came_from=209;Plini;United States;Silver Spring;8656 Colesville Rd;20910;(38.997449, -77.027579)
Plini @ Royale;2024-11-16T20:00:00;https://www.bandsintown.com/e/1031776881-plini-at-royale?came_from=209;Plini;United States;Boston;279 Tremont St;02116;(42.3499921, -71.0655563)
Plini @ Brooklyn Steel;2024-11-17T19:00:00;https://www.bandsintown.com/e/105482585-plini-at-brooklyn-steel?came_from=209;Plini;United States;Brooklyn;319 Frost St;11222;(40.7192696, -73.93874199999999)
Plini @ Union Transfer;2024-11-18T20:00:00;https://www.bandsintown.com/e/1031775098-plini-at-union-transfer?came_from=209;Plini;United States;Philadelphia;1026 Spring Garden St;19123;(39.9613876, -75.1553236)
Plini @ House of Blues Cleveland;2024-11-20T19:00:00;https://www.bandsintown.com/e/1031778950-plini-at-house-of-blues-cleveland?came_from=209;Plini;United States;Cleveland;308 Euclid Ave;44114-2207;(41.499571, -81.690987)
Plini @ Bogart's;2024-11-21T19:00:00;https://www.bandsintown.com/e/1031778602-plini-at-bogart's?came_from=209;Plini;United States;Cincinnati;2621 Vine St;45219;(39.1299821, -84.5100266)
Plini @ The Orange Peel;2024-11-22T19:00:00;https://www.bandsintown.com/e/105482586-plini-at-the-orange-peel?came_from=209;Plini;United States;Asheville;101 Biltmore Ave;28801;(35.5914132, -82.55115269999999)
Plini @ The Masquerade;2024-11-23T19:00:00;https://www.bandsintown.com/e/1031780248-plini-at-the-masquerade?came_from=209;Plini;United States;Atlanta;75 M.L.K. Jr Dr SW;30303;(33.748752, -84.38768449999999)
Plini @ Jannus Live;2024-11-24T19:00:00;https://www.bandsintown.com/e/105482588-plini-at-jannus-live?came_from=209;Plini;United States;St Petersburg;200 1st Ave N;33701-3310;(27.77190599999999, -82.63601299999999)
Plini @ Granada Theater;2024-11-26T20:00:00;https://www.bandsintown.com/e/1031782666-plini-at-granada-theater?came_from=209;Plini;United States;Dallas;3524 Greenville Ave;75206;(32.8308267, -96.7697934)
Plini @ Emo's Austin;2024-11-27T19:00:00;https://www.bandsintown.com/e/1031780261-plini-at-emo's-austin?came_from=209;Plini;United States;Austin;2015 E Riverside Dr;78741;(30.2395789, -97.7280066)
Plini @ The Van Buren;2024-11-29T20:00:00;https://www.bandsintown.com/e/1031780289-plini-at-the-van-buren?came_from=209;Plini;United States;Phoenix;401 W Van Buren St;85003;(33.4512811, -112.0792443)
Plini @ The United Theater on Broadway;2024-11-30T20:00:00;https://www.bandsintown.com/e/1031776648-plini-at-the-united-theater-on-broadway?came_from=209;Plini;United States;Los Angeles;929 S Broadway;90015;(34.0419807, -118.2569961)
Chelsea Wolfe @ The Button Factory;2024-10-25T19:30:00;https://www.bandsintown.com/e/1030838256-chelsea-wolfe-at-the-button-factory?came_from=209;Chelsea Wolfe;Ireland;Dublin;Curved St;D024D26;(53.3449334, -6.2645228)
Chelsea Wolfe @ Limelight;2024-10-26T19:00:00;https://www.bandsintown.com/e/1030831625-chelsea-wolfe-at-limelight?came_from=209;Chelsea Wolfe;United Kingdom;Belfast;17 Ormeau Ave;BT2 8HD;(54.59299009999999, -5.9285558)
Chelsea Wolfe @ Queen Margaret Union;2024-10-27T19:00:00;https://www.bandsintown.com/e/1030831509-chelsea-wolfe-at-queen-margaret-union?came_from=209;Chelsea Wolfe;United Kingdom;Glasgow;22 University Gardens;G12 8QN;(55.87359619999999, -4.2913955)
Chelsea Wolfe @ Manchester Academy 2;2024-10-28T19:30:00;https://www.bandsintown.com/e/1030828689-chelsea-wolfe-at-manchester-academy-2?came_from=209;Chelsea Wolfe;United Kingdom;Manchester;Oxford Rd;M13 9PR;(53.4636927, -2.2314603)
Chelsea Wolfe @ Koko;2024-10-29T19:00:00;https://www.bandsintown.com/e/1030829031-chelsea-wolfe-at-koko?came_from=209;Chelsea Wolfe;United Kingdom;London;1A Camden High St;NW1 7JE;(51.5347645, -0.1380776)
Chelsea Wolfe @ The Leeds Irish Centre;2024-10-31T19:30:00;https://www.bandsintown.com/e/1030829396-chelsea-wolfe-at-the-leeds-irish-centre?came_from=209;Chelsea Wolfe;United Kingdom;Leeds;381 A64;;(53.79648, -1.54785)
Chelsea Wolfe @ Chalk;2024-11-01T18:30:00;https://www.bandsintown.com/e/1030828714-chelsea-wolfe-at-chalk?came_from=209;Chelsea Wolfe;United Kingdom;Brighton;10 Pool Valley;BN1 1NJ;(50.8200045, -0.1384128)
Chelsea Wolfe @ Marble Factory;2024-11-02T18:00:00;https://www.bandsintown.com/e/1030837710-chelsea-wolfe-at-marble-factory?came_from=209;Chelsea Wolfe;United Kingdom;Bristol;74-78 Avon Street;BS2 0PX;(51.44958270000001, -2.5760355)
Chelsea Wolfe @ La BAM (La boite à Musiques);2024-11-05T20:30:00;https://www.bandsintown.com/e/1032238882-chelsea-wolfe-at-la-bam-(la-boite-a-musiques)?came_from=209;Chelsea Wolfe;France;Vallières-lès-metz;20 BOULEVARD D'ALSACE;57000;(49.12708, 6.2167)
Chelsea Wolfe @ Rote fabrik - Aktionshalle;2024-11-06T20:00:00;https://www.bandsintown.com/e/1032208616-chelsea-wolfe-at-rote-fabrik-aktionshalle?came_from=209;Chelsea Wolfe;Switzerland;Zürich;Seestrasse 395;8038;(47.343448, 8.535557)
Chelsea Wolfe @ Razzmatazz 2;2024-11-08T19:00:00;https://www.bandsintown.com/e/1032171264-chelsea-wolfe-at-razzmatazz-2?came_from=209;Chelsea Wolfe;Spain;Barcelona;Carrer de Pamplona, 88;08018;(41.3972434, 2.1912593)
Chelsea Wolfe @ La Sala (WiZink Center);2024-11-09T20:00:00;https://www.bandsintown.com/e/1032171359-chelsea-wolfe-at-la-sala-(wizink-center)?came_from=209;Chelsea Wolfe;Spain;City Center;Calle Fuente Del Berro;;(40.41831, -3.70275)
Chelsea Wolfe @ Salle Victoire 2;2024-11-12T19:00:00;https://www.bandsintown.com/e/1032208492-chelsea-wolfe-at-salle-victoire-2?came_from=209;Chelsea Wolfe;France;St Jean De Vedas;Rue Theophraste Renaudot;34430;(43.572818, 3.851963)
Chelsea Wolfe @ Circolo Magnolia;2024-11-13T20:00:00;https://www.bandsintown.com/e/1032171275-chelsea-wolfe-at-circolo-magnolia?came_from=209;Chelsea Wolfe;Italy;Segrate;Via Circonvallazione Idroscalo 41;20090;(45.463623, 9.2860678)
Chelsea Wolfe @ Cafe at the Somerville Armory;2024-12-04T20:00:00;https://www.bandsintown.com/e/1033031614-chelsea-wolfe-at-cafe-at-the-somerville-armory?came_from=209;Chelsea Wolfe;United States;Somerville;191 Highland Ave;02143;(42.3896048, -71.1060313)
Chelsea Wolfe @ First Unitarian Congregational Society in Brooklyn;2024-12-06T19:00:00;https://www.bandsintown.com/e/1033034894-chelsea-wolfe-at-first-unitarian-congregational-society-in-brooklyn?came_from=209;Chelsea Wolfe;United States;Brooklyn;119 Pierrepont St;11201;(40.695386, -73.99271759999999)
Chelsea Wolfe @ Great American Music Hall;2024-12-11T20:00:00;https://www.bandsintown.com/e/1033033470-chelsea-wolfe-at-great-american-music-hall?came_from=209;Chelsea Wolfe;United States;San Francisco;859 O'farrell St;94109;(37.7849548, -122.41887099999997)
Chelsea Wolfe @ Rio Theatre;2024-12-12T20:00:00;https://www.bandsintown.com/e/1033051804-chelsea-wolfe-at-rio-theatre?came_from=209;Chelsea Wolfe;United States;Santa Cruz;1205 Soquel Ave;95062;(36.9799599, -122.01058639999997)
Animals as Leaders @ The Fillmore;2024-10-29T18:00:00;https://www.bandsintown.com/e/105473843-animals-as-leaders-at-the-fillmore?came_from=209;Animals as Leaders;United States;San Francisco;1805 Geary Blvd;94115;(37.783926, -122.433072)
Animals as Leaders @ The Showbox;2024-10-31T18:00:00;https://www.bandsintown.com/e/105473851-animals-as-leaders-at-the-showbox?came_from=209;Animals as Leaders;United States;Seattle;1426 1st Ave;98104;(47.6085565, -122.3393269)
Animals as Leaders @ Commodore Ballroom;2024-11-01T18:00:00;https://www.bandsintown.com/e/105473876-animals-as-leaders-at-commodore-ballroom?came_from=209;Animals as Leaders;Canada;Vancouver;868 Granville St;V6Z 1K3;(49.2805378, -123.1208319)
Animals as Leaders @ Roseland Theater;2024-11-02T18:00:00;https://www.bandsintown.com/e/105473862-animals-as-leaders-at-roseland-theater?came_from=209;Animals as Leaders;United States;Portland;8 NW 6th Ave;97209;(45.52324609999999, -122.676282)
Animals as Leaders @ Knitting Factory;2024-11-04T18:00:00;https://www.bandsintown.com/e/105473845-animals-as-leaders-at-knitting-factory?came_from=209;Animals as Leaders;United States;Boise;416 S 9th St;83702;(43.6131802, -116.2068318)
Animals as Leaders @ The Depot;2024-11-05T18:00:00;https://www.bandsintown.com/e/105473842-animals-as-leaders-at-the-depot?came_from=209;Animals as Leaders;United States;Salt Lake City;400 WS Temple;84101;(40.769588, -111.90114)
Animals as Leaders @ Summit Music Hall;2024-11-06T18:00:00;https://www.bandsintown.com/e/105473859-animals-as-leaders-at-summit-music-hall?came_from=209;Animals as Leaders;United States;Denver;1902 Blake St;80202;(39.7532404, -104.99510470000001)
Animals as Leaders @ Madrid Theatre;2024-11-07T18:00:00;https://www.bandsintown.com/e/105473846-animals-as-leaders-at-madrid-theatre?came_from=209;Animals as Leaders;United States;Kansas City;3810 Main Street;64111;(39.058109, -94.586387)
Animals as Leaders @ First Avenue;2024-11-08T18:00:00;https://www.bandsintown.com/e/105473847-animals-as-leaders-at-first-avenue?came_from=209;Animals as Leaders;United States;Minneapolis;701 1st Ave N;55403;(44.9785315, -93.2759978)
Animals as Leaders @ The Rave / Eagles Club;2024-11-09T18:00:00;https://www.bandsintown.com/e/105473855-animals-as-leaders-at-the-rave-eagles-club?came_from=209;Animals as Leaders;United States;Milwaukee;2401 W Wisconsin Ave;53233;(43.0379175, -87.9433123)
Animals as Leaders @ House of Blues Chicago;2024-11-10T18:00:00;https://www.bandsintown.com/e/105473861-animals-as-leaders-at-house-of-blues-chicago?came_from=209;Animals as Leaders;United States;Chicago;329 N Dearborn St;60654;(41.888275, -87.6288411)
Animals as Leaders @ The Danforth Music Hall;2024-11-12T18:00:00;https://www.bandsintown.com/e/105473875-animals-as-leaders-at-the-danforth-music-hall?came_from=209;Animals as Leaders;Canada;Toronto;147 Danforth Ave;M4K 1N2;(43.67624439999999, -79.35700829999999)
Animals as Leaders @ Saint Andrew's Hall;2024-11-13T18:00:00;https://www.bandsintown.com/e/105473857-animals-as-leaders-at-saint-andrew's-hall?came_from=209;Animals as Leaders;United States;Detroit;431 E Congress St;48226;(42.3322259, -83.04146469999999)
Animals as Leaders @ The Fillmore;2024-11-15T18:00:00;https://www.bandsintown.com/e/105473865-animals-as-leaders-at-the-fillmore?came_from=209;Animals as Leaders;United States;Silver Spring;8656 Colesville Rd;20910;(38.997449, -77.027579)
Animals as Leaders @ Royale;2024-11-16T18:00:00;https://www.bandsintown.com/e/105473850-animals-as-leaders-at-royale?came_from=209;Animals as Leaders;United States;Boston;279 Tremont St;02116;(42.3499921, -71.0655563)
Animals as Leaders @ Brooklyn Steel;2024-11-17T18:00:00;https://www.bandsintown.com/e/105473856-animals-as-leaders-at-brooklyn-steel?came_from=209;Animals as Leaders;United States;Brooklyn;319 Frost St;11222;(40.7192696, -73.93874199999999)
Animals as Leaders @ Union Transfer;2024-11-18T18:00:00;https://www.bandsintown.com/e/105473860-animals-as-leaders-at-union-transfer?came_from=209;Animals as Leaders;United States;Philadelphia;1026 Spring Garden St;19123;(39.9613876, -75.1553236)
Animals as Leaders @ House of Blues Cleveland;2024-11-20T18:00:00;https://www.bandsintown.com/e/105473844-animals-as-leaders-at-house-of-blues-cleveland?came_from=209;Animals as Leaders;United States;Cleveland;308 Euclid Ave;44114-2207;(41.499571, -81.690987)
Animals as Leaders @ Bogart's;2024-11-21T18:00:00;https://www.bandsintown.com/e/105473864-animals-as-leaders-at-bogart's?came_from=209;Animals as Leaders;United States;Cincinnati;2621 Vine St;45219;(39.1299821, -84.5100266)
Animals as Leaders @ The Orange Peel;2024-11-22T18:00:00;https://www.bandsintown.com/e/105473863-animals-as-leaders-at-the-orange-peel?came_from=209;Animals as Leaders;United States;Asheville;101 Biltmore Ave;28801;(35.5914132, -82.55115269999999)
Animals as Leaders @ The Masquerade;2024-11-23T18:00:00;https://www.bandsintown.com/e/105473849-animals-as-leaders-at-the-masquerade?came_from=209;Animals as Leaders;United States;Atlanta;75 M.L.K. Jr Dr SW;30303;(33.748752, -84.38768449999999)
Animals as Leaders @ Jannus Live;2024-11-24T18:00:00;https://www.bandsintown.com/e/105473848-animals-as-leaders-at-jannus-live?came_from=209;Animals as Leaders;United States;St Petersburg;200 1st Ave N;33701-3310;(27.77190599999999, -82.63601299999999)
Animals as Leaders @ Granada Theater;2024-11-26T18:00:00;https://www.bandsintown.com/e/105473853-animals-as-leaders-at-granada-theater?came_from=209;Animals as Leaders;United States;Dallas;3524 Greenville Ave;75206;(32.8308267, -96.7697934)
Animals as Leaders @ Emo's Austin;2024-11-27T18:00:00;https://www.bandsintown.com/e/105473858-animals-as-leaders-at-emo's-austin?came_from=209;Animals as Leaders;United States;Austin;2015 E Riverside Dr;78741;(30.2395789, -97.7280066)
Animals as Leaders @ The Van Buren;2024-11-29T18:00:00;https://www.bandsintown.com/e/105473852-animals-as-leaders-at-the-van-buren?came_from=209;Animals as Leaders;United States;Phoenix;401 W Van Buren St;85003;(33.4512811, -112.0792443)
Animals as Leaders @ The United Theater on Broadway;2024-11-30T18:00:00;https://www.bandsintown.com/e/105473854-animals-as-leaders-at-the-united-theater-on-broadway?came_from=209;Animals as Leaders;United States;Los Angeles;929 S Broadway;90015;(34.0419807, -118.2569961)
Animals as Leaders @ Casino de Paris;2025-02-25T19:00:00;https://www.bandsintown.com/e/105846070-animals-as-leaders-at-casino-de-paris?came_from=209;Animals as Leaders;France;Paris;16 Rue de Clichy;75009;(48.87831480000001, 2.3301076)
Animals as Leaders @ AB;2025-02-26T19:00:00;https://www.bandsintown.com/e/105846165-animals-as-leaders-at-ab?came_from=209;Animals as Leaders;Belgium;Bruxelles;Rue du Champ de l'Eglise 69;1000;(50.875249, 4.353625)
Animals as Leaders @ Docks;2025-02-27T19:00:00;https://www.bandsintown.com/e/105846380-animals-as-leaders-at-docks?came_from=209;Animals as Leaders;Germany;Hamburg;Spielbudenplatz 19;20359;(53.5492917, 9.964537199999995)
Animals as Leaders @ Amager Bio;2025-02-28T19:00:00;https://www.bandsintown.com/e/105846405-animals-as-leaders-at-amager-bio?came_from=209;Animals as Leaders;Denmark;Copenhagen;Øresundsvej 6;2300;(55.6578522, 12.6093553)
Animals as Leaders @ Huxleys Neue Welt;2025-03-01T19:00:00;https://www.bandsintown.com/e/105846431-animals-as-leaders-at-huxleys-neue-welt?came_from=209;Animals as Leaders;Germany;Berlin;Hasenheide 107 - 113;10967;(52.4868532, 13.421381)
Animals as Leaders @ Täubchenthal;2025-03-02T19:00:00;https://www.bandsintown.com/e/105846456-animals-as-leaders-at-taubchenthal?came_from=209;Animals as Leaders;Germany;Leipzig;Wachsmuthstraße 1;04229;(51.324383, 12.330176)
Animals as Leaders @ ROXY Prague;2025-03-04T19:00:00;https://www.bandsintown.com/e/105846466-animals-as-leaders-at-roxy-prague?came_from=209;Animals as Leaders;Czech Republic;Prague;Dlouhá 33;110 000;(50.090689, 14.425874)
Animals as Leaders @ Simm City;2025-03-05T19:00:00;https://www.bandsintown.com/e/105846477-animals-as-leaders-at-simm-city?came_from=209;Animals as Leaders;Austria;Vienna;Simmeringer Hauptstraße 96a;1110;(48.1737542, 16.416332300000022)
Animals as Leaders @ Magazzini Generali;2025-03-06T19:00:00;https://www.bandsintown.com/e/105846491-animals-as-leaders-at-magazzini-generali?came_from=209;Animals as Leaders;Italy;Milan;14 Via Pietrasanta;20141;(45.4438616, 9.1963926)
Animals as Leaders @ Komplex;2025-03-07T19:00:00;https://www.bandsintown.com/e/105846512-animals-as-leaders-at-komplex?came_from=209;Animals as Leaders;Switzerland;Zurich;Hohlstrasse 45;8048;(47.3769331, 8.5271884)
Animals as Leaders @ Muffathalle;2025-03-09T19:00:00;https://www.bandsintown.com/e/105846520-animals-as-leaders-at-muffathalle?came_from=209;Animals as Leaders;Germany;München;Zellstraße 4;81667;(48.1331043, 11.589557)
Animals as Leaders @ Batschkapp;2025-03-10T19:00:00;https://www.bandsintown.com/e/105846534-animals-as-leaders-at-batschkapp?came_from=209;Animals as Leaders;Germany;Frankfurt Am Main;Gwinnerstraße 5;60388;(50.135439, 8.739144)
Animals as Leaders @ Carlswerk Victoria;2025-03-11T19:00:00;https://www.bandsintown.com/e/105846542-animals-as-leaders-at-carlswerk-victoria?came_from=209;Animals as Leaders;Germany;Köln;Schanzenstraße 6-20 Gebäude 3.12;51063;(50.9650717, 7.0121199)
Animals as Leaders @ Poppodium 013;2025-03-12T19:00:00;https://www.bandsintown.com/e/1032739039-animals-as-leaders-at-poppodium-013?came_from=209;Animals as Leaders;Netherlands;Tilburg;Veemarktstraat 44;5038;(51.55786519999999, 5.0928438)
Animals as Leaders @ 12;2025-03-12T19:00:00;https://www.bandsintown.com/e/105846553-animals-as-leaders-at-12?came_from=209;Animals as Leaders;Netherlands;Doorwerth;Valeriuslaan 17;6865 JA;(51.98196739999999, 5.7997977)
Animals as Leaders @ Albert Hall;2025-03-14T19:00:00;https://www.bandsintown.com/e/105846585-animals-as-leaders-at-albert-hall?came_from=209;Animals as Leaders;United Kingdom;Manchester;27 Peter St.;M2 5QR;(53.4782808, -2.2479352)
Animals as Leaders @ Roundhouse;2025-03-15T19:00:00;https://www.bandsintown.com/e/105846588-animals-as-leaders-at-roundhouse?came_from=209;Animals as Leaders;United Kingdom;London;Chalk Farm Rd;NW1 8EH;(51.5432545, -0.151869)
Intervals @ The Fortitude Music Hall;2024-11-02T15:30:00;https://www.bandsintown.com/e/105912312-intervals-at-the-fortitude-music-hall?came_from=209;Intervals;Australia;Brisbane;312-318 Brunswick Street;4006;(-27.4577936, 153.034627)
Intervals @ Odeon Theatre;2024-11-05T18:30:00;https://www.bandsintown.com/e/105912249-intervals-at-odeon-theatre?came_from=209;Intervals;Australia;Hobart;167 Liverpool St;7000;(-42.8830616, 147.3246948)
Intervals @ Hindley Street Music Hall;2024-11-07T18:00:00;https://www.bandsintown.com/e/105912253-intervals-at-hindley-street-music-hall?came_from=209;Intervals;Australia;Adelaide;149 Hindley Street;5000;(-34.92342, 138.5939274)
Intervals @ Stay Gold;2024-11-08T19:00:00;https://www.bandsintown.com/e/1033096013-intervals-at-stay-gold?came_from=209;Intervals;Australia;Brunswick;133 Sydney Road;3056;(-37.7743072, 144.9604994)
Intervals @ PICA (Port Melbourne Industrial Centre for the Arts);2024-11-09T15:30:00;https://www.bandsintown.com/e/105912322-intervals-at-pica-(port-melbourne-industrial-centre-for-the-arts)?came_from=209;Intervals;Australia;Port Melbourne;1 Woolboard Rd;3207;(-37.8294906, 144.9244079)
Intervals @ Hordern Pavilion;2024-11-10T15:30:00;https://www.bandsintown.com/e/105912325-intervals-at-hordern-pavilion?came_from=209;Intervals;Australia;Moore Park;1 Driver Ave;2021;(-33.894099, 151.2242223)
Intervals @ WWW;2024-11-12T18:00:00;https://www.bandsintown.com/e/105687184-intervals-at-www?came_from=209;Intervals;Japan;Tokyo;13-7 Udagawacho, Shibuya-ku;150-0042;(35.6615357, 139.6987369)
Intervals @ Live House Anima;2024-11-13T18:00:00;https://www.bandsintown.com/e/105687188-intervals-at-live-house-anima?came_from=209;Intervals;Japan;Osaka;Japan;542-0086;(34.67122, 135.4983335)
Intervals @ The Roxy;2025-03-06T18:00:00;https://www.bandsintown.com/e/106039133-intervals-at-the-roxy?came_from=209;Intervals;United States;Lakewood;13200 Madison Ave;44107;(41.4772019, -81.78108240000002)
Intervals @ Saint Andrew's Hall;2025-03-07T18:00:00;https://www.bandsintown.com/e/106039143-intervals-at-saint-andrew's-hall?came_from=209;Intervals;United States;Detroit;431 E Congress St;48226;(42.3322259, -83.04146469999999)
Intervals @ The KING of CLUBS;2025-03-08T18:00:00;https://www.bandsintown.com/e/106039146-intervals-at-the-king-of-clubs?came_from=209;Intervals;United States;Columbus;6252 Busch Blvd;43229;(40.0936654, -82.992195)
Intervals @ Thalia Hall;2025-03-09T18:00:00;https://www.bandsintown.com/e/106039139-intervals-at-thalia-hall?came_from=209;Intervals;United States;Chicago;1227 W 18th St;60608;(41.8577976, -87.6573556)
Intervals @ Gothic Theatre;2025-03-11T18:00:00;https://www.bandsintown.com/e/106039136-intervals-at-gothic-theatre?came_from=209;Intervals;United States;Englewood;3263 S Broadway;80113;(39.6576834, -104.9878406)
Intervals @ The Depot;2025-03-12T18:00:00;https://www.bandsintown.com/e/106039151-intervals-at-the-depot?came_from=209;Intervals;United States;Salt Lake City;400 WS Temple;84101;(40.769588, -111.90114)
Intervals @ August Hall;2025-03-14T18:00:00;https://www.bandsintown.com/e/106039148-intervals-at-august-hall?came_from=209;Intervals;United States;San Francisco;420 Mason St;94102;(37.7875662, -122.40959499999997)
Intervals @ The Bellwether;2025-03-15T18:00:00;https://www.bandsintown.com/e/106039132-intervals-at-the-bellwether?came_from=209;Intervals;United States;Los Angeles;333 S Boylston St;90017;(34.0563555, -118.2584132)
Intervals @ The Glass House;2025-03-16T18:00:00;https://www.bandsintown.com/e/106039147-intervals-at-the-glass-house?came_from=209;Intervals;United States;Pomona;200 W 2nd St;91766;(34.057709, -117.751363)
Intervals @ House of Blues San Diego;2025-03-17T18:00:00;https://www.bandsintown.com/e/106039134-intervals-at-house-of-blues-san-diego?came_from=209;Intervals;United States;San Diego;1055 5th Ave;92101;(32.7163773, -117.1596034)
Intervals @ The Nile Theater;2025-03-18T18:00:00;https://www.bandsintown.com/e/106039154-intervals-at-the-nile-theater?came_from=209;Intervals;United States;Mesa;105 W Main St;85201;(33.414927, -111.834439)
Intervals @ The Echo Lounge & Music Hall;2025-03-20T18:00:00;https://www.bandsintown.com/e/106039155-intervals-at-the-echo-lounge-and-music-hall?came_from=209;Intervals;United States;Dallas;1323 N Stemmons Fwy;75207;(32.7905621, -96.81445839999999)
Intervals @ Warehouse Live Midtown;2025-03-21T18:00:00;https://www.bandsintown.com/e/106039140-intervals-at-warehouse-live-midtown?came_from=209;Intervals;United States;Houston;2600 Travis St;77006;(29.7458262, -95.3753559)
Intervals @ Empire Control Room & Garage;2025-03-22T18:00:00;https://www.bandsintown.com/e/106039149-intervals-at-empire-control-room-and-garage?came_from=209;Intervals;United States;Austin;606 E 7th St;78701;(30.2674059, -97.73607009999999)
Intervals @ House of Blues Restaurant & Bar;2025-03-25T18:00:00;https://www.bandsintown.com/e/106039141-intervals-at-house-of-blues-restaurant-and-bar?came_from=209;Intervals;United States;Orlando;1490 E Buena Vista Dr;32830;(28.3710292, -81.521959)
Intervals @ The Orpheum;2025-03-26T18:00:00;https://www.bandsintown.com/e/106039153-intervals-at-the-orpheum?came_from=209;Intervals;United States;Tampa;14802 N Nebraska Ave;33613;(28.0832711, -82.451646)
Intervals @ The Masquerade;2025-03-27T18:00:00;https://www.bandsintown.com/e/106039135-intervals-at-the-masquerade?came_from=209;Intervals;United States;Atlanta;75 M.L.K. Jr Dr SW;30303;(33.748752, -84.38768449999999)
Intervals @ The Underground;2025-03-28T18:00:00;https://www.bandsintown.com/e/106039150-intervals-at-the-underground?came_from=209;Intervals;United States;Charlotte;820 Hamilton St;28206;(35.2397891, -80.84598)
Intervals @ The National;2025-03-29T18:00:00;https://www.bandsintown.com/e/106039137-intervals-at-the-national?came_from=209;Intervals;United States;Richmond;708 E Broad St;23219-1836;(37.5418426, -77.43524599999999)
Intervals @ Baltimore Soundstage;2025-03-30T18:00:00;https://www.bandsintown.com/e/106039138-intervals-at-baltimore-soundstage?came_from=209;Intervals;United States;Baltimore;124 Market Pl;21202;(39.2876463, -76.60706859999999)
Intervals @ Spirit Hall;2025-04-01T18:00:00;https://www.bandsintown.com/e/106039142-intervals-at-spirit-hall?came_from=209;Intervals;United States;Pittsburgh;242 51st St;15201;(40.4787071, -79.9564194)
Intervals @ Warsaw;2025-04-03T18:00:00;https://www.bandsintown.com/e/106039145-intervals-at-warsaw?came_from=209;Intervals;United States;Brooklyn;261 Driggs Ave;11222;(40.722392, -73.948408)
Intervals @ Paradise Rock Club;2025-04-04T18:00:00;https://www.bandsintown.com/e/106039144-intervals-at-paradise-rock-club?came_from=209;Intervals;United States;Boston;967 Commonwealth Ave;02215;(42.3521732, -71.11937560000001)
Intervals @ Union Transfer;2025-04-05T18:00:00;https://www.bandsintown.com/e/106039152-intervals-at-union-transfer?came_from=209;Intervals;United States;Philadelphia;1026 Spring Garden St;19123;(39.9613876, -75.1553236)
Apparat @ The Cause;2024-11-29T22:00:00;https://www.bandsintown.com/e/1033000071-apparat-at-the-cause?came_from=209;Apparat;United Kingdom;North London;60 Dock Road;E16 1YZ;(51.55317, -0.12257)
Alcest @ Boogaloo Zagreb;2024-10-21T20:00:00;https://www.bandsintown.com/e/1031120373-alcest-at-boogaloo-zagreb?came_from=209;Alcest;Croatia;Zagreb;Ulica grada Vukovara 68;10000;(45.7985151, 15.9710218)
Alcest @ Gagarin 205;2024-10-23T18:30:00;https://www.bandsintown.com/e/105313752-alcest-at-gagarin-205?came_from=209;Alcest;Greece;Athina;Liosion 205;104 45;(38.00363540000001, 23.721748)
Alcest @ WE;2024-10-24T18:30:00;https://www.bandsintown.com/e/105313756-alcest-at-we?came_from=209;Alcest;Greece;Thessaloniki;3is Septemvriou 20;546 21;(40.6257911, 22.9577699)
Alcest @ IF Performance Hall Beşiktaş;2024-10-26T21:00:00;https://www.bandsintown.com/e/1030952928-alcest-at-if-performance-hall-besiktas?came_from=209;Alcest;Turkey;İstanbul;Cihannüma Mah. Has Fırın Cad. Akmaz Çeşme Sok. No:26 Beşiktaş (BKM Karşı Sokağı);;(41.03508, 28.98331)
